id,gm_1_ws,gm_0.9_ws,gm_0.8_ws,gm_0.7_ws,gm_0.6_ws,gm_0.5_ws,gm_0.4_ws,gm_0.3_ws,gm_0.2_ws,gm_0.1_ws,gm_0_ws,wm_-0.5mm_ws,wm_-1mm_ws,wm_-1.5mm_ws,wm_-2mm_ws,wm_-2.5mm_ws,wm_-3mm_ws,wm_-3.5mm_ws,wm_-4mm_ws,gm_0mm_ps,gm_0.25mm_ps,gm_0.5mm_ps,gm_0.75mm_ps,gm_1mm_ps,gm_1.25mm_ps,gm_1.5mm_ps,gm_1.75mm_ps,gm_2mm_ps,gm_2.25mm_ps,gm_2.5mm_ps,gm_2.75mm_ps,gm_3mm_ps,gm_3.25mm_ps,gm_3.5mm_ps,gm_3.75mm_ps,gm_4mm_ps,gm_4.25mm_ps,gm_4.5mm_ps,gm_4.75mm_ps,gm_5mm_ps,gm_5.25mm_ps,gm_5.5mm_ps,gm_5.75mm_ps,gm_6mm_ps,gm_6.25mm_ps,gm_6.5mm_ps,gm_6.75mm_ps,gm_7mm_ps
21,-0.28695834,-0.2301343,-0.10238055,-0.07545063,-0.047061674,-0.0015107815,0.018956564,0.02805861,-0.017838513,-0.071598165,-0.20357826,-0.31373635,-0.2826766,-0.19696806,-0.120357014,-0.066228874,-0.070937015,-0.08850553,-0.048344795,-0.25428778,-0.09027869,0.03637849,0.105300784,0.15177916,0.17995751,0.18969539,0.17007272,0.21117838,0.19468862,0.2206474,0.26476896,0.2896885,0.29168978,0.26748967,0.22353263,0.15271823,0.113621764,0.073474675,0.020369485,-0.006649474,-0.025133071,-0.016613131,-0.0032218865,-0.01032438,-0.007367548,-0.006594546,0.006093499,-0.027335873
22,0.84075886,1.0364045,1.2416649,1.3838344,1.5239005,1.5873859,1.5885371,1.5867712,1.3976899,1.2320905,0.9231549,0.6532686,0.50995547,0.41763225,0.4393672,0.43408254,0.49473688,0.48489666,0.4474797,0.742896,1.0446718,1.204512,1.337583,1.4438015,1.5088419,1.5169199,1.5228736,1.4739717,1.4219601,1.3353679,1.252328,1.2013295,1.1271234,1.0513078,0.99550414,0.9650678,0.93271697,0.8610495,0.7856322,0.7300524,0.6708481,0.65263224,0.61247575,0.56337434,0.5274482,0.5009535,0.47366354,0.4468248
23,-0.700289,-0.84066385,-0.88947755,-0.9320872,-0.9290924,-0.91980535,-0.84537834,-0.7695,-0.7506394,-0.7462266,-0.83069634,-0.840856,-0.7548227,-0.657335,-0.5608141,-0.50484055,-0.5989335,-0.6039134,-0.6321489,-0.743344,-0.8459326,-0.84130245,-0.8206715,-0.81704485,-0.72463435,-0.7016649,-0.6371498,-0.59682685,-0.53697413,-0.49750665,-0.46777448,-0.45526224,-0.43376258,-0.43377444,-0.43257076,-0.45583645,-0.43839392,-0.42095673,-0.4390544,-0.4517982,-0.45554206,-0.45186237,-0.42930496,-0.44652176,-0.41654086,-0.41792533,-0.4320965,-0.44863835
24,0.025207225,-0.16224988,-0.29686522,-0.34875134,-0.34909058,-0.34913874,-0.33922887,-0.36297485,-0.4344208,-0.39978057,-0.5368535,-0.5192947,-0.56241846,-0.51243216,-0.3895573,-0.2174402,-0.1633476,-0.06062302,-0.041197974,0.028745586,-0.12106673,-0.2782447,-0.3092448,-0.31979778,-0.34763983,-0.38323244,-0.37787777,-0.38692695,-0.4327116,-0.48522642,-0.52169645,-0.561168,-0.59808964,-0.6577193,-0.6467467,-0.6568948,-0.63696516,-0.6520684,-0.6318399,-0.5643544,-0.49025092,-0.46385324,-0.39084145,-0.30337676,-0.28018123,-0.25629878,-0.25756925,-0.24449483
25,-1.6056273,-1.9236338,-2.0613916,-2.1586168,-2.1960912,-2.1722772,-2.2217658,-2.2362628,-2.2406335,-2.3122075,-2.3720198,-2.280023,-2.1530466,-2.0003583,-1.7903649,-1.6323872,-1.5401334,-1.4595367,-1.3754749,-1.2027286,-1.641998,-1.9126424,-2.1429422,-2.2231355,-2.1989188,-2.1259036,-2.0798805,-1.9905716,-1.8974771,-1.7700697,-1.6571127,-1.5573277,-1.4577094,-1.3965536,-1.3492969,-1.3632648,-1.360859,-1.3331674,-1.3419172,-1.3505639,-1.3102884,-1.2976182,-1.2596542,-1.2396947,-1.2181749,-1.2170188,-1.188344,-1.1722647
26,-0.7199457,-0.83364326,-0.9763609,-1.0364195,-1.017575,-1.0320727,-1.0176469,-1.0132989,-1.0306884,-1.1171846,-1.0403532,-1.0694569,-1.0061455,-1.0408274,-1.0759714,-0.9809491,-0.97204345,-0.9077126,-0.9130417,-0.67763335,-0.8589427,-0.84693587,-0.7776231,-0.8928573,-0.9535597,-0.9693114,-0.9713826,-0.9790473,-1.0295836,-0.9753524,-0.98159176,-1.0006332,-1.0115308,-1.0135131,-0.99645096,-0.9955869,-1.0203612,-1.000476,-1.0115399,-1.0368912,-1.0282284,-0.97416437,-0.976223,-0.99479264,-0.98410016,-0.94776577,-0.9184079,-0.89292574
27,-0.03148182,0.09447193,0.16726522,0.27521232,0.36669227,0.33710933,0.30563962,0.29067194,0.19621818,-0.07436734,-0.29518136,-0.5550876,-0.654923,-0.6769358,-0.4907029,-0.3244869,-0.18853998,-0.15278018,-0.14888154,0.021499572,0.1654286,0.2748352,0.38253772,0.42664665,0.39926735,0.2948802,0.21188563,0.13718668,0.0063135903,-0.034572463,-0.09912106,-0.23603259,-0.3119404,-0.38056764,-0.46019375,-0.47347263,-0.5058453,-0.62234694,-0.5538926,-0.5509343,-0.5253224,-0.5148918,-0.5151805,-0.49415228,-0.5229455,-0.4093893,-0.37074766,-0.47404948
28,-1.4110409,-1.6222199,-1.8109165,-1.9324992,-1.9547199,-1.9711962,-2.043565,-2.0597026,-2.059682,-2.0407553,-1.9473014,-1.8736798,-1.7658826,-1.7070447,-1.6586502,-1.5830841,-1.5442963,-1.4755105,-1.378388,-1.0148892,-1.536782,-1.7544717,-1.8670605,-1.8824409,-1.8823549,-1.831395,-1.8037089,-1.692375,-1.6621605,-1.5417011,-1.4690399,-1.3908038,-1.3301432,-1.3184259,-1.3253164,-1.2939976,-1.2889819,-1.2802312,-1.2724464,-1.2365631,-1.2391771,-1.2363145,-1.2476548,-1.227811,-1.1941068,-1.1645304,-1.1649417,-1.1630851
29,-1.7784389,-1.9186112,-1.9366013,-1.9111838,-1.8132538,-1.7597833,-1.7451677,-1.7075163,-1.7868037,-1.969044,-2.218305,-2.1167552,-2.091961,-1.8985212,-1.7227066,-1.4524941,-1.28065,-1.2133425,-1.170029,-1.5215715,-1.7157999,-1.7657981,-1.7584963,-1.6947416,-1.6225665,-1.6410412,-1.5991191,-1.4933248,-1.3750435,-1.2573581,-1.1921781,-1.0977416,-1.0410779,-1.031478,-1.0451884,-1.1209183,-1.2035456,-1.2419162,-1.2817162,-1.2771105,-1.2599936,-1.2845908,-1.2899443,-1.2864668,-1.2322783,-1.2166288,-1.202733,-1.1881518
30,-0.046425555,-0.0047571175,0.08058593,0.22478826,0.26872632,0.3046984,0.32680818,0.30412543,0.27624273,0.16950266,-0.07161853,-0.11028505,-0.23445411,-0.280976,-0.2379506,-0.12249262,-0.030570766,0.11575467,0.24827653,0.09728981,0.13012025,0.11126207,0.12043101,0.077540636,0.028086005,0.07706748,-0.036487512,-0.041492905,-0.019105375,0.121439576,0.20452756,0.30171117,0.42014697,0.40163013,0.40549797,0.4078855,0.3964552,0.27456534,0.14968675,-0.008418538,-0.112486795,-0.15424313,-0.16754794,-0.21256329,-0.27559665,-0.30662507,-0.32981715,-0.27191305
